id,year,title,runtime,collection,genres,tagline,overview,cast,director,producer,keywords,adult,production_companies,spoken_languages,popularity,vote_count,vote_average
9087,1995,The American President,114,,"['Comedy', 'Drama', 'Romance']",Why can't the most powerful man in the world have the one thing he wants most?,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","['Michael Douglas', 'Annette Bening', 'Martin Sheen', 'David Paymer', 'Samantha Mathis']",['Rob Reiner'],['Rob Reiner'],"['the white house', 'usa president', 'new love', 'widower', 'wildlife conservation']",False,"['Castle Rock Entertainment', 'Wildwood Enterprises']","['French', 'English']",12.899,595,6
12110,1995,Dracula: Dead and Loving It,88,,"['Comedy', 'Horror', 'Fantasy']",Got Blood?,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.","['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol', 'Lysette Anthony']",['Mel Brooks'],['Mel Brooks'],"['vampire', 'spoof', 'dracula']",False,"['Castle Rock Entertainment', 'Enigma Pictures']","['English', 'German']",19.792,806,6
21032,1995,Balto,78,Balto Collection,"['Family', 'Animation', 'Adventure']",Part Dog. Part Wolf. All Hero.,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins']",['Simon Wells'],"['Steven Spielberg', 'Kathleen Kennedy']","['wolf', 'pet', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'pets']",False,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",['English'],21.89,1793,7
10858,1995,Nixon,192,,"['Drama', 'History']","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins']",['Oliver Stone'],"['Oliver Stone', 'Clayton Townsend', 'Dan Halsted', 'Andrew G. Vajna']","['washington dc, usa', 'usa president', '1970s', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure', 'richard nixon', '1960s']",False,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['English'],12.326,284,6
1408,1995,Cutthroat Island,124,,"['Action', 'Adventure']",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']",['Renny Harlin'],"['Joel B. Michaels', 'Laurence Mark', 'Renny Harlin', 'James Gorman']","['exotic island', 'treasure', 'map', 'island', 'ship', 'scalp', 'sword fight', 'betrayal', 'treasure map', 'pirate', 'heroine', 'swashbuckler', 'adventurer', 'pirate ship', '17th century']",False,"['Metro-Goldwyn-Mayer', 'Le Studio Canal+', 'Carolco Pictures', 'Laurence Mark Productions', 'Guild', 'Forge', 'RCS Video', 'Beckner/Gorman Productions', 'Cutthroat Productions', 'Tele-Communications Inc.']","['Spanish', 'French', 'Latin', 'English']",17.416,447,5
524,1995,Casino,179,,"['Crime', 'Drama']",No one stays at the top forever.,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'Don Rickles', 'James Woods']",['Martin Scorsese'],['Barbara De Fina'],"['poker', 'gambling', 'casino', 'drug abuse', '1970s', 'fbi', 'overdose', 'greed', 'rise and fall', 'car bomb', 'alcoholism', 'organized crime', 'mafia', 'money', 'las vegas', 'desert', 'illegal prostitution', '1980s']",False,"['Universal Pictures', 'Syalis DA', 'De Fina-Cappa', 'Légende Films']",['English'],20.759,4845,8
4584,1995,Sense and Sensibility,136,,"['Drama', 'Romance']",Lose your heart and come to your senses.,"Based on Jane Austen's classic novel of the Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.","['Emma Thompson', 'Kate Winslet', 'Alan Rickman', 'Hugh Grant', 'Gemma Jones']",['Ang Lee'],['Lindsay Doran'],"['london, england', 'based on novel or book', 'servant', 'country life', 'widow', 'pneumonia', 'secret love', 'inheritance', 'military officer', 'period drama', 'english countryside', 'rainstorm', 'decorum', 'horse carriage', 'young love', 'dowry', '19th century', 'penniless', 'social elite', 'bloodletting', 'free spirited', 'sussex', 'jane austen', '1800s', 'sisters love', 'social classes', 'prim and proper', 'marry for money', 'secret engagement', 'devonshire, england']",False,"['Columbia Pictures', 'Mirage Enterprises']",['English'],16.189,1407,7
5,1995,Four Rooms,98,,"['Crime', 'Comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"['Tim Roth', 'Jennifer Beals', 'Antonio Banderas', 'Valeria Golino', 'David Proval']","['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']",['Lawrence Bender'],"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'anthology', 'los angeles, california', 'hoodlum', 'multiple storylines', 'woman director']",False,"['Miramax', 'A Band Apart']",['English'],45.378,2280,5
9273,1995,Ace Ventura: When Nature Calls,90,Ace Ventura Collection,"['Crime', 'Comedy', 'Adventure']",New animals. New adventures. Same hair.,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Bob Gunton', 'Maynard Eziashi']",['Steve Oedekerk'],"['James G. Robinson', 'Bob Israel', 'Andrew G. La Marca']","['africa', 'indigenous', 'kidnapping', 'human animal relationship', 'bat', 'stupidity', 'slapstick comedy', 'animal', 'pets']",False,"['Warner Bros. Pictures', 'Morgan Creek Productions']",['English'],29.624,3562,6
11517,1995,Money Train,110,,"['Action', 'Comedy', 'Crime']","Get on, or GET OUT THE WAY!","When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper']",['Joseph Ruben'],"['Neil Canton', 'Jon Peters']","['new york city', 'sibling relationship', 'subway', 'new york subway', 'train robbery']",False,['Columbia Pictures'],['English'],12.843,642,5
8012,1995,Get Shorty,105,Chili Palmer Collection,"['Comedy', 'Thriller', 'Crime']",Attitude plays a part.,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina']",['Barry Sonnenfeld'],"['Danny DeVito', 'Michael Shamberg', 'Stacey Sher']","['gambling', 'miami, florida', 'based on novel or book', 'gangster', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'drugs', 'producer', 'con']",False,"['Metro-Goldwyn-Mayer', 'Jersey Films']",['English'],16.457,835,6
1710,1995,Copycat,124,,"['Thriller', 'Crime']","One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara', 'Harry Connick Jr.']",['Jon Amiel'],"['Arnon Milchan', 'Mark Tarlov', 'Michael G. Nathanson']","['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']",False,"['Regency Enterprises', 'New Regency Pictures']","['German', 'English', 'Italian']",13.241,779,6
9691,1995,Assassins,132,,"['Action', 'Adventure', 'Crime', 'Thriller']",In the shadows of life. In the business of death. One man found a reason to live.,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson']",['Richard Donner'],"['Joel Silver', 'Bruce A. Evans', 'Raynold Gideon', 'Richard Donner', 'Jim Van Wyck', 'Andrew Lazar']","['cia', 'bank', 'cat', 'mexican standoff', 'seattle, usa', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'detroit, michigan', 'silencer', 'double cross', 'caribbean sea', 'assassinos [1995]']",False,"['Canal+', 'Warner Bros. Pictures', 'Silver Pictures', 'Donner/Shuler-Donner Productions', 'Dino De Laurentiis Company', 'Evansgideon/Lazar']","['English', 'Spanish', 'Dutch']",19.515,1308,6
12665,1995,Powder,111,,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",An extraordinary encounter with another human being.,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum', 'Brandon Smith']",['Victor Salva'],"['Roger Birnbaum', 'Daniel Grodnik']","['shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'christ allegory', 'psionic power', 'healing power', 'flickering light', 'extrasensory perception', 'pale']",False,"['Caravan Pictures', 'Hollywood Pictures']",['English'],16.446,498,6
451,1995,Leaving Las Vegas,111,,"['Drama', 'Romance']",I Love You... The Way You Are.,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber']",['Mike Figgis'],"['Lila Cazès', 'Annie Stewart']","['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'movie business', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles, california', 'las vegas', 'alcohol abuse']",False,"['United Artists', 'Intial Productions', 'Lumière Pictures']","['English', 'Italian', 'Russian']",17.931,1164,7
16420,1995,Othello,123,,['Drama'],"Envy, greed, jealousy and love.",The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker', 'Michael Maloney']",['Oliver Parker'],[],"['jealousy', 'friends', 'the moors (people)']",False,['Castle Rock Entertainment'],['English'],8.368,118,6
9263,1995,Now and Then,100,,"['Comedy', 'Drama', 'Romance']",In every woman there is the girl she left behind.,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann']",['Lesli Linka Glatter'],"['Suzanne Todd', 'Demi Moore']","['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']",False,['New Line Cinema'],['English'],10.924,360,6
17015,1995,Persuasion,104,,"['Drama', 'Romance']",,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.","['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw', 'John Woodvine']",['Roger Michell'],['Fiona Finlay'],"['based on novel or book', 'captain', 'napoleonic wars', 'old flame', 'admiral']",False,['BBC Film'],['English'],12.377,113,7
902,1995,The City of Lost Children,108,,"['Fantasy', 'Science Fiction', 'Adventure']",Where happily ever after is just a dream.,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus']","['Jean-Pierre Jeunet', 'Marc Caro']","['Claudie Ossard', 'Félicie Dutertre', 'María Victoria Hebrero', 'José Luis Lopez', 'Arlette Mas', 'Elías Querejeta', 'François Rabes']","['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'steampunk', 'rescue', 'childhood', 'child kidnapping', 'flea']",False,"['Canal+', 'CNC', 'PROCIREP', 'Constellation Productions', 'France 3 Cinéma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'TVE', 'Cofimage 5', 'Tele München Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement Média"", 'Canal+ España', 'Elías Querejeta P. C.', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']","['Cantonese', 'French']",13.63,878,7
37557,1995,Shanghai Triad,108,,"['Drama', 'Crime']","In 1930, Shanghai violence was not the problem. It was the solution.","Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.","['Gong Li', 'Li Baotian', 'Sun Chun', 'Li Xuejian', 'Liu Jiang']",['Zhang Yimou'],"['Jean-Louis Piel', 'Yves Marmion', 'Wu Yigong']","['shanghai, china', 'chinese mafia', 'coming of age', 'mistress', 'criminal underworld', 'drug lord', 'triad', 'modern china', 'nightclub singer', '1930s', 'cabaret singer', 'chinese triad']",False,"['UGC', 'Alpha Films', 'La Sept Cinéma', 'Shanghai Film Studios']",['Mandarin'],7.308,67,6
9909,1995,Dangerous Minds,99,,['Drama'],She broke the rules... and changed their lives.,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'John Neville']",['John N. Smith'],"['Jerry Bruckheimer', 'Don Simpson']","['california', 'rap music', 'karate', 'high school', 'naval officer', 'teacher', 'based on memoir or autobiography', 'amusement park', 'schoolteacher']",False,"['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']",['English'],17.907,967,7
63,1995,Twelve Monkeys,129,,"['Science Fiction', 'Thriller', 'Mystery']",The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']",['Terry Gilliam'],['Charles Roven'],"['schizophrenia', 'philadelphia, pennsylvania', 'stockholm syndrome', 'underground', 'time travel', 'post-apocalyptic future', 'dystopia', 'mental institution', 'lethal virus', 'paradox', 'psychiatrist', 'monkey', 'cult film', 'subterranean', 'recurring dream', '1990s', '2030s', 'cassandra syndrome']",False,"['Universal Pictures', 'Atlas Entertainment', 'Classico']","['English', 'French']",55.618,7243,7
9598,1995,Babe,91,Babe Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']",A little pig goes a long way.,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn']",['Chris Noonan'],"['George Miller', 'Doug Mitchell', 'Bill Miller']","['alarm clock', 'cat', 'duck', 'sheep', 'pig', 'farm', 'affection', 'piglet', 'heroism', 'anthropomorphism', ""based on children's book"", 'dog', 'separation', 'farmer', 'grandson', 'sheepdog', 'talking pig', 'christmas']",False,"['Universal Pictures', 'Kennedy Miller Productions']",['English'],20.999,2508,6
687,1995,Dead Man Walking,122,,['Drama'],,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",['Tim Robbins'],"['Tim Robbins', 'Rudd Simmons', 'Jon Kilik']","['prison', 'rape', 'nun', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'cowardliness']",False,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']",['English'],13.545,1131,7
33689,1995,It Takes Two,101,,"['Comedy', 'Family', 'Romance']",Two identical strangers. Two different worlds. One perfect match.,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.","['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen', 'Jane Sibbett']",['Andy Tennant'],"['James Orr', 'Jim Cruickshank']","['matchmaking', 'orphan', 'identical twin', 'relationship sabotage']",False,"['Warner Bros. Pictures', 'Dualstar Productions', 'Rysher Entertainment', 'Orr & Cruickshank']",['English'],17.242,772,6
9603,1995,Clueless,97,,"['Comedy', 'Romance']",Sex. Clothes. Popularity. Is there a problem here?,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison']",['Amy Heckerling'],"['Scott Rudin', 'Robert Lawrence']","['based on novel or book', 'puberty', 'high school', 'make a match', 'spoiled child', 'coming of age', 'conflict', 'wedding', 'woman director', 'gay']",False,['Paramount'],"['Spanish', 'English']",24.487,3744,7
